ds,y
2010-08-10,963.4688859
2010-08-11,963.4688859
2010-08-12,963.4688859
2010-08-13,963.4688859
2010-08-17,963.4688859
2010-08-18,963.4688859
2010-08-19,963.4688859
2010-08-20,963.4688859
2010-08-23,963.4688859
2010-08-24,963.4688859
2010-08-25,963.4688859
2010-08-26,963.4688859
2010-08-27,963.4688859
2010-08-30,963.4688859
2010-08-31,963.4688859
2010-09-01,963.4688859
2010-09-02,963.4688859
2010-09-03,963.4688859
2010-09-06,963.4688859
2010-09-07,963.4688859
2010-09-08,963.4688859
2010-09-09,963.4688859
2010-09-10,963.4688859
2010-09-13,963.4688859
2010-09-14,963.4688859
2010-09-15,963.4688859
2010-09-16,963.4688859
2010-09-17,963.4688859
2010-09-21,963.4688859
2010-09-22,963.4688859
2010-09-23,963.4688859
2010-09-24,963.4688859
2010-09-27,963.4688859
2010-09-28,963.4688859
2010-09-29,963.4688859
2010-09-30,963.4688859
2010-10-01,963.4688859
2010-10-04,963.4688859
2010-10-05,963.4688859
2010-10-07,963.4688859
2010-10-08,963.4688859
2010-10-11,963.4688859
2010-10-12,963.4688859
2010-10-13,963.4688859
2010-10-14,963.4688859
2010-10-15,963.4688859
2010-10-19,963.4688859
2010-10-20,963.4688859
2010-10-21,963.4688859
2010-10-22,963.4688859
2010-10-25,963.4688859
2010-10-26,963.4688859
2010-10-27,963.4688859
2010-10-28,963.4688859
2010-10-29,963.4688859
2010-11-02,963.4688859
2010-11-03,963.4688859
2010-11-04,963.4688859
2010-11-05,963.4688859
2010-11-08,963.4688859
2010-11-09,963.4688859
2010-11-10,963.4688859
2010-11-11,963.4688859
2010-11-12,963.4688859
2010-11-16,963.4688859
2010-11-17,963.4688859
2010-11-18,963.4688859
2010-11-19,963.4688859
2010-11-22,963.4688859
2010-11-23,963.4688859
2010-11-24,963.4688859
2010-11-25,963.4688859
2010-11-26,963.4688859
2010-11-29,963.4688859
2010-11-30,963.4688859
2010-12-01,963.4688859
2010-12-02,963.4688859
2010-12-03,963.4688859
2010-12-06,963.4688859
2010-12-07,963.4688859
2010-12-09,963.4688859
2010-12-10,963.4688859
2010-12-13,963.4688859
2010-12-14,963.4688859
2010-12-15,963.4688859
2010-12-16,963.4688859
2010-12-17,963.4688859
2010-12-20,963.4688859
2010-12-21,963.4688859
2010-12-22,963.4688859
2010-12-24,963.4688859
2010-12-27,963.4688859
2010-12-28,963.4688859
2010-12-29,963.4688859
2010-12-30,963.4688859
2010-12-31,963.4688859
2011-01-03,900.4382111
2011-01-04,900.4382111
2011-01-05,900.4382111
2011-01-06,900.4382111
2011-01-07,900.4382111
2011-01-11,900.4382111
2011-01-12,900.4382111
2011-01-13,900.4382111
2011-01-14,900.4382111
2011-01-17,900.4382111
2011-01-18,900.4382111
2011-01-19,900.4382111
2011-01-20,900.4382111
2011-01-21,900.4382111
2011-01-24,900.4382111
2011-01-25,900.4382111
2011-01-26,900.4382111
2011-01-27,900.4382111
2011-01-28,900.4382111
2011-01-31,900.4382111
2011-02-01,900.4382111
2011-02-02,900.4382111
2011-02-03,900.4382111
2011-02-04,900.4382111
2011-02-07,900.4382111
2011-02-08,900.4382111
2011-02-09,900.4382111
2011-02-10,900.4382111
2011-02-11,900.4382111
2011-02-14,900.4382111
2011-02-16,900.4382111
2011-02-17,900.4382111
2011-02-18,900.4382111
2011-02-21,900.4382111
2011-02-22,900.4382111
2011-02-23,900.4382111
2011-02-24,900.4382111
2011-02-25,900.4382111
2011-02-28,900.4382111
2011-03-01,900.4382111
2011-03-02,900.4382111
2011-03-03,900.4382111
2011-03-04,900.4382111
2011-03-07,900.4382111
2011-03-08,900.4382111
2011-03-09,900.4382111
2011-03-10,900.4382111
2011-03-11,900.4382111
2011-03-14,900.4382111
2011-03-15,900.4382111
2011-03-16,900.4382111
2011-03-17,900.4382111
2011-03-18,900.4382111
2011-03-22,900.4382111
2011-03-23,900.4382111
2011-03-24,900.4382111
2011-03-25,900.4382111
2011-03-29,900.4382111
2011-03-30,900.4382111
2011-04-01,900.4382111
2011-04-04,900.4382111
2011-04-05,900.4382111
2011-04-06,900.4382111
2011-04-07,900.4382111
2011-04-08,900.4382111
2011-04-11,900.4382111
2011-04-12,900.4382111
2011-04-13,900.4382111
2011-04-14,900.4382111
2011-04-15,900.4382111
2011-04-18,900.4382111
2011-04-19,900.4382111
2011-04-20,900.4382111
2011-04-25,900.4382111
2011-04-27,900.4382111
2011-04-28,900.4382111
2011-04-29,900.4382111
2011-05-02,900.4382111
2011-05-03,900.4382111
2011-05-04,900.4382111
2011-05-06,900.4382111
2011-05-09,900.4382111
2011-05-10,900.4382111
2011-05-11,900.4382111
2011-05-12,900.4382111
2011-05-13,900.4382111
2011-05-16,900.4382111
2011-05-17,900.4382111
2011-05-18,900.4382111
2011-05-19,900.4382111
2011-05-20,900.4382111
2011-05-23,900.4382111
2011-05-24,900.4382111
2011-05-25,900.4382111
2011-05-26,900.4382111
2011-05-27,900.4382111
2011-05-30,900.4382111
2011-05-31,900.4382111
2011-06-01,900.4382111
2011-06-02,900.4382111
2011-06-03,900.4382111
2011-06-07,900.4382111
2011-06-08,900.4382111
2011-06-09,900.4382111
2011-06-10,900.4382111
2011-06-13,900.4382111
2011-06-14,900.4382111
2011-06-15,900.4382111
2011-06-16,900.4382111
2011-06-17,900.4382111
2011-06-20,900.4382111
2011-06-21,900.4382111
2011-06-22,900.4382111
2011-06-23,900.4382111
2011-06-24,900.4382111
2011-06-28,900.4382111
2011-06-29,900.4382111
2011-06-30,900.4382111
2011-07-05,900.4382111
2011-07-06,900.4382111
2011-07-07,900.4382111
2011-07-08,900.4382111
2011-07-11,900.4382111
2011-07-12,900.4382111
2011-07-13,900.4382111
2011-07-14,900.4382111
2011-07-15,900.4382111
2011-07-18,1125.547764
2011-07-19,1125.547764
2011-07-21,1125.547764
2011-07-22,1125.547764
2011-07-25,1050.511246
2011-07-26,1050.511246
2011-07-27,1050.511246
2011-07-28,1050.511246
2011-07-29,1050.511246
2011-08-01,1050.511246
2011-08-02,1050.511246
2011-08-03,1050.511246
2011-08-04,1050.511246
2011-08-05,1050.511246
2011-08-08,975.4747287
2011-08-09,975.4747287
2011-08-10,975.4747287
2011-08-11,975.4747287
2011-08-12,975.4747287
2011-08-16,975.4747287
2011-08-17,975.4747287
2011-08-18,975.4747287
2011-08-19,975.4747287
2011-08-22,900.4382111
2011-08-23,900.4382111
2011-08-24,900.4382111
2011-08-25,900.4382111
2011-08-26,900.4382111
2011-08-29,900.4382111
2011-08-30,900.4382111
2011-08-31,900.4382111
2011-09-01,900.4382111
2011-09-02,900.4382111
2011-09-05,900.4382111
2011-09-06,900.4382111
2011-09-07,900.4382111
2011-09-08,900.4382111
2011-09-09,900.4382111
2011-09-12,900.4382111
2011-09-13,900.4382111
2011-09-14,900.4382111
2011-09-15,900.4382111
2011-09-16,900.4382111
2011-09-19,900.4382111
2011-09-20,900.4382111
2011-09-21,900.4382111
2011-09-22,900.4382111
2011-09-23,900.4382111
2011-09-26,900.4382111
2011-09-27,900.4382111
2011-09-28,900.4382111
2011-09-29,900.4382111
2011-09-30,900.4382111
2011-10-03,900.4382111
2011-10-04,900.4382111
2011-10-05,900.4382111
2011-10-06,900.4382111
2011-10-07,900.4382111
2011-10-10,900.4382111
2011-10-11,900.4382111
2011-10-12,900.4382111
2011-10-13,900.4382111
2011-10-14,900.4382111
2011-10-18,900.4382111
2011-10-19,900.4382111
2011-10-20,900.4382111
2011-10-21,900.4382111
2011-10-24,900.4382111
2011-10-25,900.4382111
2011-10-26,900.4382111
2011-10-28,900.4382111
2011-10-31,900.4382111
2011-11-01,900.4382111
2011-11-03,900.4382111
2011-11-04,900.4382111
2011-11-08,900.4382111
2011-11-09,900.4382111
2011-11-10,900.4382111
2011-11-11,900.4382111
2011-11-15,900.4382111
2011-11-16,900.4382111
2011-11-17,900.4382111
2011-11-18,900.4382111
2011-11-21,900.4382111
2011-11-22,900.4382111
2011-11-23,900.4382111
2011-11-24,900.4382111
2011-11-25,900.4382111
2011-11-28,900.4382111
2011-11-29,900.4382111
2011-11-30,900.4382111
2011-12-01,900.4382111
2011-12-02,900.4382111
2011-12-05,900.4382111
2011-12-06,900.4382111
2011-12-07,900.4382111
2011-12-09,900.4382111
2011-12-12,900.4382111
2011-12-13,900.4382111
2011-12-20,900.4382111
2011-12-21,900.4382111
2011-12-22,900.4382111
2011-12-23,900.4382111
2011-12-26,900.4382111
2011-12-27,900.4382111
2011-12-28,900.4382111
2011-12-29,900.4382111
2011-12-30,900.4382111
2012-01-02,841.5310384
2012-01-04,841.5310384
2012-01-05,841.5310384
2012-01-10,841.5310384
2012-01-11,841.5310384
2012-01-12,841.5310384
2012-01-13,841.5310384
2012-01-16,841.5310384
2012-01-17,841.5310384
2012-01-18,841.5310384
2012-01-19,841.5310384
2012-01-20,841.5310384
2012-01-23,841.5310384
2012-01-24,841.5310384
2012-01-25,841.5310384
2012-01-26,841.5310384
2012-01-27,841.5310384
2012-01-30,841.5310384
2012-01-31,841.5310384
2012-02-01,841.5310384
2012-02-02,841.5310384
2012-02-03,841.5310384
2012-02-06,841.5310384
2012-02-07,841.5310384
2012-02-08,841.5310384
2012-02-09,841.5310384
2012-02-10,841.5310384
2012-02-13,841.5310384
2012-02-14,841.5310384
2012-02-15,841.5310384
2012-02-16,841.5310384
2012-02-17,841.5310384
2012-02-20,841.5310384
2012-02-21,841.5310384
2012-02-22,841.5310384
2012-02-23,841.5310384
2012-02-24,841.5310384
2012-02-27,911.658625
2012-02-28,911.658625
2012-02-29,911.658625
2012-03-01,911.658625
2012-03-02,911.658625
2012-03-05,911.658625
2012-03-06,911.658625
2012-03-07,911.658625
2012-03-08,911.658625
2012-03-09,911.658625
2012-03-13,911.658625
2012-03-14,911.658625
2012-03-15,911.658625
2012-03-16,911.658625
2012-03-28,911.658625
2012-03-29,911.658625
2012-04-02,911.658625
2012-04-03,911.658625
2012-04-04,911.658625
2012-04-09,911.658625
2012-04-10,911.658625
2012-04-11,911.658625
2012-04-12,911.658625
2012-04-13,911.658625
2012-04-16,911.658625
2012-04-17,911.658625
2012-04-18,911.658625
2012-04-19,911.658625
2012-04-20,911.658625
2012-04-23,911.658625
2012-04-24,911.658625
2012-04-25,911.658625
2012-04-26,911.658625
2012-04-27,911.658625
2012-04-30,911.658625
2012-05-02,911.658625
2012-05-03,911.658625
2012-05-04,911.658625
2012-05-07,911.658625
2012-05-08,911.658625
2012-05-09,911.658625
2012-05-10,911.658625
2012-05-11,911.658625
2012-05-14,841.5310384
2012-05-16,841.5310384
2012-05-17,841.5310384
2012-05-18,841.5310384
2012-05-22,841.5310384
2012-05-23,841.5310384
2012-05-24,841.5310384
2012-05-25,841.5310384
2012-05-28,841.5310384
2012-05-29,841.5310384
2012-05-30,841.5310384
2012-06-01,841.5310384
2012-06-04,841.5310384
2012-06-05,841.5310384
2012-06-06,841.5310384
2012-06-07,841.5310384
2012-06-08,841.5310384
2012-06-12,841.5310384
2012-06-13,841.5310384
2012-06-14,841.5310384
2012-06-15,841.5310384
2012-06-19,841.5310384
2012-06-20,841.5310384
2012-06-21,841.5310384
2012-06-22,841.5310384
2012-06-25,841.5310384
2012-06-26,841.5310384
2012-06-27,841.5310384
2012-06-28,841.5310384
2012-06-29,841.5310384
2012-07-03,841.5310384
2012-07-04,841.5310384
2012-07-05,841.5310384
2012-07-06,841.5310384
2012-07-09,841.5310384
2012-07-10,841.5310384
2012-07-11,841.5310384
2012-07-12,841.5310384
2012-07-13,841.5310384
2012-07-16,841.5310384
2012-07-17,841.5310384
2012-07-18,841.5310384
2012-07-19,841.5310384
2012-07-23,841.5310384
2012-07-24,841.5310384
2012-07-25,841.5310384
2012-07-26,841.5310384
2012-07-30,841.5310384
2012-07-31,841.5310384
2012-08-01,841.5310384
2012-08-02,841.5310384
2012-08-03,841.5310384
2012-08-06,1051.913798
2012-08-08,1051.913798
2012-08-09,1051.913798
2012-08-10,1051.913798
2012-08-13,1051.913798
2012-08-14,1051.913798
2012-08-15,1051.913798
2012-08-16,1051.913798
2012-08-17,1051.913798
2012-08-21,1051.913798
2012-08-22,1051.913798
2012-08-23,1051.913798
2012-08-24,1051.913798
2012-08-27,1051.913798
2012-08-28,1051.913798
2012-08-29,1051.913798
2012-08-30,1051.913798
2012-08-31,1051.913798
2012-09-03,1051.913798
2012-09-04,1051.913798
2012-09-05,1051.913798
2012-09-06,1051.913798
2012-09-07,1051.913798
2012-09-10,1051.913798
2012-09-11,1051.913798
2012-09-12,1051.913798
2012-09-13,1051.913798
2012-09-14,1051.913798
2012-09-17,1051.913798
2012-09-18,981.7862115
2012-09-19,981.7862115
2012-09-20,981.7862115
2012-09-21,981.7862115
2012-09-24,981.7862115
2012-09-25,981.7862115
2012-09-26,981.7862115
2012-09-27,981.7862115
2012-09-28,981.7862115
2012-10-01,981.7862115
2012-10-02,981.7862115
2012-10-03,981.7862115
2012-10-04,981.7862115
2012-10-05,981.7862115
2012-10-08,911.658625
2012-10-09,911.658625
